Parcel Number,Sale Date,Sale Amount,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Recording
1012355001,12/17/2018,"$317,000","2324 MAYFIELD RD, IOWA CITY",1 Story Brick,1967,2000,"19,530","$489,450",5865-569
1017205006,04/17/2018,"$317,000","2337 JESSUP CIR, IOWA CITY",2 Story Frame,1982,2322,"15,345","$408,970",5783-904
1011302009,01/12/2018,"$317,500","18 MONTROSE AVE, IOWA CITY",1 Story Frame,1958,1328,"8,750","$456,760",5755-863
0907339004,08/10/2018,"$318,000","275 HUMMINGBIRD LN, IOWA CITY",Split Level Frame,2017,1881,"12,662","$414,870",5830-183
0907395001,12/03/2018,"$318,000","93 CAMDEN RD, IOWA CITY",1 Story Frame,2015,1364,"9,423","$399,950",5893-711
0907481001,01/15/2018,"$318,000","63 COLCHESTER DR, IOWA CITY",Split Level Frame,2014,1932,"9,127","$408,610",5751-478
1113427001,06/26/2018,"$318,324","1408 PHOENIX DR, IOWA CITY",2 Story Frame,2002,1860,"11,520","$407,380",5807-460
0907489002,06/06/2018,"$319,000","195 ARLINGTON DR, IOWA CITY",Split Level Frame,2015,1860,"8,876","$385,450",5799-800
0907405001,06/24/2018,"$320,000","108 CHADWICK LN, IOWA CITY",Split Level Frame,2004,1839,"10,725","$435,700",5810-733
1009105008,09/27/2018,"$320,000","436 BELDON AVE, IOWA CITY",1 Story Frame,1954,2014,"15,875","$602,430",5845-765
1009203002,08/01/2018,"$320,000","927 PARK RD, IOWA CITY",1 Story Frame,1955,1056,"8,050","$363,170",5828-620
1016136004,10/11/2018,"$320,000","624 BROOKLAND PARK DR, IOWA CITY",1 1/2 Story Frame,1939,1620,"10,560","$438,180",5851-857
1016344007,04/27/2018,"$320,000","1059 WEEBER ST, IOWA CITY",1 Story Frame,1994,1787,"8,120","$455,240",5778-679
1017127012,02/22/2018,"$320,000","336 MACBRIDE RD, IOWA CITY",1 Story Frame,1972,1654,"16,100","$481,360",5763-766
1018133003,05/15/2018,"$320,000","34 KEARNEY CT, IOWA CITY",1 Story Frame,2002,1679,"10,140","$433,950",5784-1
1018209013,01/19/2018,"$320,000","754 GALWAY DR, IOWA CITY",1 Story Frame,2011,1424,"10,344","$408,400",5753-575
1018316001,06/10/2018,"$322,000","1006 PHEASANT VALLEY ST, IOWA CITY",1 Story Frame,1995,1693,"12,480","$431,190",5795-860
1016129009,06/15/2018,"$325,000","331 MELROSE CT, IOWA CITY",2 Story Frame,1923,1848,"5,885","$409,830",5801-738
1016141004,04/25/2018,"$325,000","423 MELROSE CT, IOWA CITY",2 Story Frame,1927,1152,"8,260","$345,680",5784-963
1113456003,06/05/2018,"$325,000","1453 LAKE SHORE DR, IOWA CITY",1 Story Frame,2012,1503,"7,998","$448,870",5796-432
0907337004,10/21/2018,"$326,000","209 LINDEMANN DR, IOWA CITY",1 Story Frame,2014,1374,"14,500","$414,990",5848-834
1017451017,06/22/2018,"$328,000","1915 FLANIGAN CT, IOWA CITY",1 Story Frame,1993,1936,"12,150","$473,680",5808-777
0907395005,05/25/2018,"$329,900","55 CAMDEN RD, IOWA CITY",1 Story Frame,2017,1401,"8,050","$420,240",5790-436
0918131002,06/11/2018,"$329,900","4604 CANTERBURY CT, IOWA CITY",1 Story Frame,1997,1873,"13,800","$444,100",5805-751
1004484001,04/25/2018,"$329,900","303 WILLIS DR, IOWA CITY",1 Story Frame,1950,1324,"7,308","$457,850",5778-360
1009179010,07/25/2018,"$330,000","329 RIVER ST, IOWA CITY",2 Story Frame,1916,1948,"8,890","$425,290",5819-462
1023454007,07/14/2018,"$330,000","1970 SHERMAN DR, IOWA CITY",Split Foyer Frame,2016,1500,"8,000","$425,700",5824-69
1009183009,09/18/2018,"$335,000","130 FERSON AVE, IOWA CITY",2 Story Frame,1917,1930,"12,000","$465,150",5841-784
1015101017,05/31/2018,"$335,000","510 S GOVERNOR ST, IOWA CITY",2 Story Frame,1860,2300,"15,120","$454,100",5791-205
1018201003,06/20/2018,"$335,000","3532 GALWAY CT, IOWA CITY",2 Story Frame,1994,2446,"14,000","$464,790",5805-779
1113458008,02/26/2018,"$335,900","1563 DUNLEY CT, IOWA CITY",1 Story Frame,2017,1444,"10,709","$433,930",5760-857
1018207006,06/01/2018,"$338,500","3744 DONEGAL CT, IOWA CITY",2 Story Frame,1999,2008,"10,656","$424,860",5812-180
1002205002,08/22/2018,"$339,000","1767 QUINCENT ST, IOWA CITY",1 Story Frame,1990,1749,"12,900","$475,430",5829-176
1018138003,06/29/2018,"$339,000","3411 KILLARNEY RD, IOWA CITY",Split Level Frame,2006,2270,"10,036","$452,000",5826-27
1002205002,06/15/2018,"$339,900","1767 QUINCENT ST, IOWA CITY",1 Story Frame,1990,1749,"12,900","$475,430",5810-323
0907259015,05/22/2018,"$340,000","405 THORNBURY AVE, IOWA CITY",2 Story Frame,2006,1938,"9,154","$440,080",5788-613
0907485001,07/21/2018,"$340,000","229 ARLINGTON DR, IOWA CITY",2 Story Frame,2015,2149,"8,884","$462,840",5825-68
1003281001,09/10/2018,"$340,000","306 VIRGINIA DR, IOWA CITY",1 Story Frame,1961,1484,"41,818","$431,640",5839-981
1004203017,02/23/2018,"$340,000","852 MANITOU TRL, IOWA CITY",1 Story Frame,2007,1591,"14,468","$454,440",5761-607
1015403004,11/13/2018,"$340,000","1023 MARCY ST, IOWA CITY",2 Story Brick,1900,2178,"14,250","$458,610",5859-646
1018356002,11/30/2018,"$340,000","1418 WILD PRAIRIE DR, IOWA CITY",1 Story Frame,1996,1708,"10,400","$402,530",5860-23
0907132004,08/08/2018,"$340,200","4201 UNBRIDLED AVE, IOWA CITY",1 Story Frame,2017,1504,"10,441","$444,100",5825-731
0918161003,07/30/2018,"$342,000","920 ARLINGTON DR, IOWA CITY",1 Story Frame,1994,1560,"11,505","$423,810",5819-739
1012176015,08/20/2018,"$346,000","94 HERON CIR, IOWA CITY",2 Story Frame,1993,2258,"19,453","$489,810",5832-336
1011255004,10/15/2018,"$347,500","1005 FAIRCHILD ST, IOWA CITY",2 Story Frame,1924,2155,"12,000","$464,110",5848-257
1017414001,10/12/2018,"$348,888","1111 DENBIGH DR, IOWA CITY",2 Story Frame,1981,2514,"10,332","$497,140",5846-322
1113456004,08/17/2018,"$349,000","1465 LAKE SHORE DR, IOWA CITY",1 Story Frame,2012,1503,"8,224","$439,470",5833-580
1113437009,02/02/2018,"$349,900","1120 WILDCAT LN, IOWA CITY",1 Story Frame,2015,1464,"13,243","$444,940",5754-781
1004302003,10/01/2018,"$350,000","1036 FOSTER RD, IOWA CITY",2 Story Frame,2003,1920,"5,227","$468,340",5854-616
1017435001,04/12/2018,"$350,000","1115 ESTRON ST, IOWA CITY",1 Story Frame,1976,1796,"13,007","$463,040",5784-401
1018430005,07/02/2018,"$350,000","1232 DEERFIELD DR, IOWA CITY",2 Story Frame,1988,2498,"10,625","$464,020",5809-577
1023458003,07/25/2018,"$350,000","1861 DICKENSON LN, IOWA CITY",1 Story Frame,2017,1448,"8,024","$458,160",5817-914
0918405003,04/24/2018,"$354,000","53 CHANDLER PL, IOWA CITY",1 Story Frame,1994,1801,"17,480","$486,240",5781-556
1004485001,08/28/2018,"$355,000","320 WILLIS DR, IOWA CITY",1 Story Frame,1954,912,"55,757","$471,830",5832-314
1112104010,09/21/2018,"$358,000","1004 RYAN CT, IOWA CITY",2 Story Frame,2009,1971,"7,580","$469,110",5840-210
0918109001,06/08/2018,"$359,900","4654 DRYDEN CT, IOWA CITY",2 Story Frame,2002,2243,"16,884","$482,040",5801-414
1002202003,06/26/2018,"$360,000","1810 BRISTOL DR, IOWA CITY",1 Story Frame,2001,2016,"17,365","$497,920",5827-371
1009103006,12/20/2018,"$360,000*M","419 FERSON AVE, IOWA CITY",2 Story Frame,1929,1637,"15,000","$547,520",5868-142
1018381004,06/05/2018,"$360,000","70 QUAIL VALLEY CT, IOWA CITY",2 Story Frame,1998,2054,"14,750","$480,700",5802-36
0907134004,08/31/2018,"$361,000","4141 GRINDSTONE DR, IOWA CITY",Split Level Frame,2017,2237,"8,755","$473,930",5838-45
1017451019,08/07/2018,"$361,000","1851 FLANIGAN CT, IOWA CITY",2 Story Frame,1993,2406,"12,150","$511,770",5824-647
0918177004,06/07/2018,"$362,500","4736 INVERNESS CT, IOWA CITY",2 Story Frame,1999,2204,"17,550","$488,500",5814-437
1018133009,06/06/2018,"$362,500","9 KEARNEY CT, IOWA CITY",Split Level Frame,2005,2270,"10,509","$463,150",5795-172
1018205002,05/30/2018,"$363,000","70 DONEGAL PL, IOWA CITY",1 Story Frame,2000,1858,"10,431","$443,340",5793-734
0907315003,06/25/2018,"$364,900","4149 LILLIAN ST, IOWA CITY",1 Story Frame,2017,1433,"8,683","$465,390",5821-161
1003195001,06/08/2018,"$365,000","24 SAMUEL DR, IOWA CITY",2 Story Frame,1990,2735,"9,068","$522,000",5800-789
1009103001,06/20/2018,"$365,000","427 FERSON AVE, IOWA CITY",2 Story Frame,1900,1568,"14,250","$466,730",5811-56
1012361008,07/12/2018,"$368,600","2415 MAYFIELD RD, IOWA CITY",2 Story Frame,1961,2688,"12,000","$523,970",5821-734
1018209006,08/01/2018,"$369,900","719 GALWAY DR, IOWA CITY",1 Story Frame,2007,1495,"11,363","$481,410",5821-740
1112104008,05/24/2018,"$369,900","1028 RYAN CT, IOWA CITY",1 Story Frame,2011,1563,"7,437","$485,560",5804-958
1014132012,06/18/2018,"$370,000","437 GARDEN ST, IOWA CITY",2 Story Frame,1900,1862,"12,000","$472,460",5805-192
1001379004,06/15/2018,"$374,900","852 BLUFFWOOD DR, IOWA CITY",2 Story Frame,1987,2742,"21,675","$461,180",5800-444
0907131018,11/01/2018,"$375,000","4126 GRINDSTONE DR, IOWA CITY",1 Story Frame,2017,1433,"9,651","$481,400",5852-34
1004354008,07/13/2018,"$379,900","905 BALL ST, IOWA CITY",1 Story Frame,2014,1204,"4,106","$457,130",5818-439
1018154004,03/30/2018,"$379,900","3605 DONEGAL CT, IOWA CITY",1 Story Frame,2005,1688,"11,301","$520,540",5801-943
1004284002,09/07/2018,"$382,000","816 SUGAR LOAF CIR, IOWA CITY",1 Story Frame,2012,1400,"5,500","$461,070",5837-567
1015101023,07/03/2018,"$382,000","530 S GOVERNOR ST, IOWA CITY",2 Story Frame,1920,1804,"7,938","$485,910",5818-57
1112105004,08/14/2018,"$382,000","1011 RYAN CT, IOWA CITY",1 Story Frame,2012,1480,"7,583","$494,300",5829-57
0907209005,06/05/2018,"$382,500","627 CHARISMATIC LN, IOWA CITY",1 Story Frame,2017,1551,"9,450","$482,480",5802-395
1113454004,07/11/2018,"$382,500","1452 DUNLEY CT, IOWA CITY",1 Story Frame,2012,1516,"10,465","$489,870",5818-737
1112129003,02/26/2018,"$384,900","4942 PRESTON LN, IOWA CITY",1 Story Frame,2017,1519,"9,584","$489,460",5760-71
1011276003,11/01/2018,"$385,000","1320 ROCHESTER AVE, IOWA CITY",1 Story Brick,1965,2612,"17,920","$505,000",5854-352
1018131001,09/02/2018,"$385,000","301 DUBLIN DR, IOWA CITY",1 Story Frame,2005,2052,"17,837","$569,660",5839-59
1009183007,04/27/2018,"$386,000","212 FERSON AVE, IOWA CITY",1 3/4 Story Frame,1925,1931,"6,638","$536,650",5780-392
0907135007,08/04/2018,"$387,400","585 HANKS DR, IOWA CITY",1 Story Frame,2017,1433,"10,871","$477,720",5826-198
0918162004,01/26/2018,"$390,000","953 ARLINGTON DR, IOWA CITY",2 Story Frame,1996,2410,"17,556","$509,260",5756-40
1014229010,08/06/2018,"$390,000","508 S SUMMIT ST, IOWA CITY",2 Story Frame,1900,2684,"9,280","$584,540",5823-211
1018341011,11/02/2018,"$390,000","1238 WILD PRAIRIE DR, IOWA CITY",2 Story Frame,2001,2772,"11,424","$521,250",5853-435
1113438003,06/01/2018,"$390,000","1131 WILDCAT LN, IOWA CITY",1 Story Frame,2013,1786,"13,945","$553,960",5794-376
0907439004,04/12/2018,"$391,500","163 EVERSULL LN, IOWA CITY",1 Story Frame,2006,1614,"10,150","$496,480",5775-409
1112104009,07/26/2018,"$395,000","1016 RYAN CT, IOWA CITY",1 Story Frame,2011,1469,"7,580","$482,390",5818-896
1015101025,01/16/2018,"$399,000","405 S SUMMIT ST, IOWA CITY",2 Story Frame,1892,2373,"15,920","$502,650",5749-109
0918106005,03/04/2018,"$400,000","664 HUNTINGTON DR, IOWA CITY",2 Story Frame,2001,2370,"12,670","$526,190",5767-27
1011411001,08/10/2018,"$400,000","2043 GLENDALE RD, IOWA CITY",2 Story Frame,1974,2665,"15,261","$561,940",5830-516
1018134002,10/01/2018,"$400,000","3419 KEARNEY LN, IOWA CITY",1 Story Frame,2003,1680,"15,197","$494,040",5846-639
1018140005,09/16/2018,"$400,000","3455 DONEGAL CT, IOWA CITY",1 Story Frame,2006,1693,"13,276","$532,920",5839-539
0918162001,09/24/2018,"$405,000","863 COVENTRY CT, IOWA CITY",2 Story Frame,1996,2815,"16,555","$505,510",5841-871
1003481029,10/12/2018,"$405,500*M","925 N DODGE ST, IOWA CITY",1 Story Frame,1900,1040,"8,697","$173,320",5846-774
1113437008,05/18/2018,"$409,900","1106 WILDCAT LN, IOWA CITY",Split Level Frame,2014,2430,"10,875","$545,400",5785-962
1012154002,03/24/2018,"$410,000","28 VAIL CIR, IOWA CITY",2 Story Frame,2012,2772,"11,012","$548,620",5775-842
1012155006,02/24/2018,"$410,000","3034 LOWER WEST BRANCH RD, IOWA CITY",2 Story Frame,2015,2342,"10,002","$564,180",5787-349
1016135001,06/26/2018,"$410,000","626 BROOKLAND PARK DR, IOWA CITY",1 Story Frame,1940,1762,"72,745","$499,600",5809-846
1009126006,10/18/2018,"$415,000","414 MAGOWAN AVE, IOWA CITY",2 Story Frame,1928,1581,"9,000","$553,520",5848-251
1014162009,10/01/2018,"$415,000*M","1820 G ST, IOWA CITY",1 Story Frame,1900,778,"12,000","$138,640",5843-268
1014183006,10/01/2018,"$415,000*M","711 S 1ST AVE, IOWA CITY",1 Story Frame,1976,912,"12,000","$168,660",5843-268
1014208020,10/01/2018,"$415,000*M","1424 CENTER AVE, IOWA CITY",1 Story Frame,1940,808,"3,125","$142,740",5843-268
1014381020,10/01/2018,"$415,000*M","1437 ASH ST, IOWA CITY",1 Story Frame,1954,960,"8,316","$168,210",5843-268
1112129001,03/30/2018,"$419,900","4982 PRESTON LN, IOWA CITY",2 Story Frame,2017,2210,"10,890","$538,430",5769-766
1113432001,06/21/2018,"$425,000","1063 LAKE SHORE DR, IOWA CITY",2 Story Frame,2014,2103,"12,894","$555,960",5805-934
1009156014,09/14/2018,"$427,000","7 ROWLAND CT, IOWA CITY",2 Story Frame,1941,1912,"26,441","$577,630",5837-424
1113411001,03/23/2018,"$427,000","1425 PHOENIX DR, IOWA CITY",2 Story Frame,2001,2623,"9,600","$562,980",5776-270
1113435003,06/28/2018,"$427,000","1277 LAKE SHORE DR, IOWA CITY",1 Story Frame,2006,1835,"12,468","$573,850",5811-235
1011416003,07/06/2018,"$435,000","5 GLENDALE TER, IOWA CITY",1 1/2 Story Frame,1967,2450,"20,228","$539,070",5811-802
1011403011,05/25/2018,"$439,000","2029 ROCHESTER CT, IOWA CITY",2 Story Frame,1971,2512,"11,895","$525,800",5797-755
1001354015,07/30/2018,"$445,000","845 CYPRESS CT, IOWA CITY",2 Story Frame,1989,2675,"19,440","$521,120",5820-192
1003427002,08/24/2018,"$445,000","505 WHITING AVE, IOWA CITY",1 Story Frame,1963,1628,"26,163","$583,410",5831-480
1011326002,02/07/2018,"$445,000","1301 ROCHESTER AVE, IOWA CITY",2 Story Brick,1928,2368,"11,040","$600,660",5755-1
1018340002,06/07/2018,"$448,000","1213 WILD PRAIRIE DR, IOWA CITY",2 Story Frame,2002,2650,"15,416","$548,850",5811-70
0907340007,02/28/2018,"$449,000","220 PINE GROVE LN, IOWA CITY",1 Story Frame,2017,1938,"18,033","$594,960",5763-789
1004349008,05/23/2018,"$450,000","743 WALKER CIR, IOWA CITY",2 Story Frame,2011,1988,"5,662","$580,370",5791-461
1011393004,05/08/2018,"$455,000","1164 E COURT ST, IOWA CITY",1 1/2 Story Frame,1900,2016,"9,720","$475,900",5782-871
1011417002,04/30/2018,"$459,000","2 GLENDALE CIR, IOWA CITY",2 Story Brick,1964,3511,"27,250","$656,070",5788-950
1009131009,12/13/2018,"$465,000","313 HUTCHINSON AVE, IOWA CITY",1 1/2 Story Frame,1941,1781,"12,000","$518,050",5864-359
1016131005,05/30/2018,"$465,000","5 MELROSE CIR, IOWA CITY",2 Story Frame,1925,3730,"24,793","$1,085,430",5794-103
1007302009,06/28/2018,"$480,000","449 BUTTERNUT LN, IOWA CITY",2 Story Frame,1996,2756,"65,427","$756,730",5813-457
0907136005,12/10/2018,"$486,000","4129 BARBARO AVE, IOWA CITY",1 Story Frame,2016,1794,"9,035","$614,980",5864-156
1018160002,06/01/2018,"$488,000","3320 LIMERICK LN, IOWA CITY",1 Story Frame,2016,1826,"8,818","$619,310",5791-994
0907136006,07/03/2018,"$498,000","4115 BARBARO AVE, IOWA CITY",2 Story Frame,2017,2363,"9,035","$567,220",5822-156
0907134003,03/01/2018,"$499,000","4125 GRINDSTONE DR, IOWA CITY",1 Story Frame,2017,2312,"10,418","$625,800",5765-560
1004354011,06/04/2018,"$499,000","1779 FOSTER RD, IOWA CITY",2 Story Frame,2016,2040,"3,359","$688,570",5792-331
0918280007,03/08/2018,"$499,900","681 SHERWOOD DR, IOWA CITY",1 Story Frame,2016,1964,"15,537","$657,960",5765-306
1005404001,10/08/2018,"$500,000","770 BARBER PL, IOWA CITY",1 Story Brick,2012,2103,"53,177","$729,080",5849-416
1018345004,11/29/2018,"$500,000","70 LARKSPUR CT, IOWA CITY",2 Story Frame,2003,2942,"16,602","$621,150",5859-907
0907363005,09/05/2018,"$505,000","936 SCOTT PARK DR, IOWA CITY",1 Story Frame,2001,2405,"31,302","$697,220",5839-474
1007237009,03/31/2018,"$505,000","989 KENNEDY PKWY, IOWA CITY",2 Story Frame,2015,2570,"12,775","$629,420",5772-31
1007235004,06/25/2018,"$508,000","1252 EAGLE PL, IOWA CITY",1 Story Frame,2015,1999,"10,488","$674,650",5811-738
0918280009,06/06/2018,"$509,000","657 SHERWOOD DR, IOWA CITY",2 Story Frame,2014,3007,"16,323","$654,240",5800-313
1007379003,01/16/2018,"$510,000","145 KENNEDY PKWY, IOWA CITY",Split Level Frame,1992,2177,"44,431","$644,220",5754-534
